Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.5,496,992,2,37096
4.13,280.67,1684,6,37209
4.4,173,173,1,37212
4.4,334,334,1,37220
3.9,49,49,1,37337
4.15,87,174,2,37527
4.5,86,86,1,37548
4.1,158,316,2,37591
4.2,76,76,1,37611
4.37,1643,9858,6,37655
4.37,1643,9858,6,37656
4.5,166,166,1,37708
3.9,126,252,2,37735
1.39,254,2286,9,37788
4.25,55,220,4,37835
4.5,803,803,1,37844
4.3,472,1416,3,37853
4.2,885.17,5311,6,37909
4.2,885.17,5311,6,37911
4.2,194.67,1168,6,38125
4.4,203,203,1,38279
4.5,132,132,1,38365
4.6,161,161,1,38456
3.9,578.5,1157,2,38764
4.3,16,16,1,38776
4.2,167,334,2,38844
4.5,265,265,1,38964
4.6,196,196,1,39117
4.2,464,464,1,39259
4.2,166,166,1,39265
4.6,548,548,1,39365
4.6,26,26,1,39650
4.6,82,164,2,39707
4.63,154.33,463,3,39774
4.3,203,609,3,39845
4.3,327,981,3,39851
3.4,174.5,698,4,40155
4.3,228,456,2,40337
4.1,815,815,1,40422
4.6,327,654,2,40543
4.2,885.17,5311,6,40565
4.63,1904,5712,3,40668
2.67,34.33,103,3,40718
4.6,383,1149,3,40864
4.2,317,317,1,40902
4.15,323,1292,4,40974
4.2,14,14,1,41041
4.7,3,3,1,41051
3,11,11,1,41061
2.6,49,49,1,41081
4,8,8,1,41091
4.2,62,62,1,41111
3.8,24,24,1,41121
4.1,102,306,3,41243
4.19,378.75,3030,8,41725
4.7,15,15,1,41768
4.4,776,1552,2,41816
4,578.17,3469,6,41894
4,578.17,3469,6,41897
4.5,915,1830,2,41980
4.3,160,480,3,42143
4.3,219,438,2,42172
4.1,67,201,3,42492
4.1,64,64,1,42618
4.18,1922.83,11537,6,42878
4.25,453,906,2,43048
4.6,852,852,1,43102
4,1526,3052,2,43114
4.34,897.57,6283,7,43281
4.27,818,2454,3,43518
4.7,316,316,1,43697
4.6,276,552,2,43956
4.4,253,253,1,44026
4.13,276.33,829,3,44264
4.2,306,2448,8,44336
4.6,151,302,2,44501
4.4,1237,2474,2,44615
4.4,234,936,4,44701
4.2,1350,2700,2,44712
4.3,149,149,1,44723
4.45,1422.12,11377,8,44793
4.1,251,502,2,44826
4.15,696.25,2785,4,44899
2.67,2.67,8,3,44997
4.4,106,212,2,45044
4.55,110.5,221,2,45131
4.7,556,2224,4,45189
3.2,19,19,1,45211
4.4,182,364,2,45628
4.2,364,364,1,45693
3.9,26,26,1,46021
4.1,37,37,1,46031
3.9,94,188,2,46041
4.6,49,98,2,46061
3.4,23,23,1,46081
3.8,20,60,3,46111
4.3,16,16,1,46121
2.5,41,41,1,46131
3.6,25,25,1,46141
3.7,69,69,1,46181
3.2,26,26,1,46191
4.3,50,50,1,46211
3.5,43,129,3,46251
4.3,47,47,1,46271
3.5,60,60,1,46281
3.7,62,62,1,46291
4.1,35,70,2,46301
3.7,91,182,2,46311
4.2,64,64,1,46321
3.5,38,38,1,46341
4,29,29,1,46371
3,19,19,1,46401
4.2,30,60,2,46431
3.8,6,6,1,46471
3.3,19,19,1,46481
3.2,21,21,1,46531
4.5,418,836,2,46666
4.52,246.8,1234,5,46777
4.5,379,379,1,46817
3.7,18,18,1,47041
3.9,42,42,1,47081
3.8,16,48,3,47091
4.4,126,252,2,47101
4.65,115.5,231,2,47129
4.43,121.67,730,6,47163
4.43,121.67,730,6,47165
4.6,344,688,2,47311
4.4,749,749,1,47560
3.9,341,341,1,47787
4.7,56,56,1,47827
4.5,557,557,1,47876
4.5,20,40,2,47917
4.5,574,1148,2,48126
4.4,226,226,1,48206
4.5,31,31,1,48217
4.35,5909.5,11819,2,48228
4.6,374,748,2,48353
4.1,64,64,1,48472
4.3,129,129,1,48704
4.2,264,1320,5,48870
4.7,299,598,2,48878
4.03,342.33,1027,3,48972
3.8,16,16,1,49021
4.6,8,8,1,49031
4,10,10,1,49051
4.4,12,24,2,49081
3.7,6,6,1,49101
4.3,23,46,2,49121
4.2,10,20,2,49131
4.3,16,16,1,49184
3.7,4454,4454,1,49256
4.3,372,744,2,49336
4.5,615,1230,2,49379
4.3,559,559,1,49503
4.06,544,2720,5,49607
4.03,125.67,377,3,49671
4.3,16,16,1,49672
4.2,305,305,1,49683
4.3,79,158,2,49702
4.3,288,288,1,49732
3.8,29,29,1,49759
4.3,134,268,2,50122
3.83,629.14,4404,7,50158
4.6,412,412,1,50261
3.95,73.5,147,2,50289
4.6,183,183,1,50484
4.3,14,14,1,50496
3.8,363,363,1,50600
4.5,892,892,1,50905
2.97,6.67,20,3,51021
3.5,58,116,2,51050
3.9,30,30,1,51071
4.3,12,12,1,51081
3.8,30,60,2,51091
4.2,218,218,1,51201
3.72,628,2512,4,51206
4.3,2316,2316,1,51236
4.78,58,232,4,51614
4.6,229,458,2,51644
3.8,177.67,1066,6,51686
4,211,1688,8,51951
4.6,890,890,1,52004
3.24,69,483,7,52008
4.5,486,486,1,52887
4.5,79,79,1,52889
4.5,32,32,1,53021
4,58,58,1,53041
3.97,63.33,380,6,53091
3.9,64,192,3,53101
4.3,6,12,2,53111
4.1,35,105,3,53171
4.5,1035,1035,1,53231
4,1320,1320,1,53569
3.7,141,282,2,53740
4.3,332,996,3,53791
4.5,86,86,1,53883
4.4,1422,1422,1,53945
4.5,1546,3092,2,54101
2,73,146,2,54519
4.3,505,505,1,54616
4.2,183,1098,6,54665
4.6,100,100,1,54753
4.1,47,47,1,55011
3.85,370.5,1482,4,55054
4.2,44,44,1,55247
4,113,678,6,55355
4.4,144,288,2,55418
4.1,372,372,1,55428
4.3,174.5,698,4,55852
4.5,199,199,1,55866
4.3,45.5,91,2,55891
4.2,278.5,557,2,56159
4.3,739,739,1,56449
4.2,183,183,1,56519
4,7,7,1,56531
4.8,11,11,1,56704
4.6,297,297,1,57105
0,0,0,1,57127
4,11,11,1,57265
3.9,1658.5,3317,2,57300
3.9,127,127,1,57664
4.2,109,218,2,57689
4.2,228,228,1,57932
4.37,264,792,3,58047
4.2,1296,2592,2,58084
3.5,1149,1149,1,58149
4.5,112,112,1,58973
4.5,286,286,1,59230
4.4,278,556,2,59263
4.5,346,346,1,59480
4.55,767,1534,2,59550
4.6,1098,1098,1,59789
3.28,277.75,1111,4,60184
3.5,31,31,1,60765
3.43,238,1428,6,61116
3.7,18,18,1,61150
4.44,109.56,986,9,61169
4.1,646,646,1,61206
4.61,83.57,585,7,61212
4.4,192,768,4,61226
4.45,8,16,2,61245
4.2,283,566,2,61314
4.2,187,374,2,61757
3.85,144,288,2,62297
4.38,745.67,4474,6,62374
4.4,1448,1448,1,62830
3.9,40,80,2,63031
4.7,580,1160,2,63191
4.1,96,192,2,63202
3.35,7.5,30,4,63790
4.55,433.5,867,2,63983
4.05,230.5,922,4,64463
4.1,1056,1056,1,64540
4.3,1924,1924,1,64693
4.17,168.67,1012,6,64874
4.2,404,1212,3,65173
4.6,327,327,1,65747
3.3,85.5,171,2,66049
4.3,4,4,1,66101
0,0,0,2,66103
2.3,4.5,9,2,66113
4.2,22,22,1,66191
4.3,476,476,1,66197
4.3,19,19,1,66285
4.6,10,30,3,66311
4.5,15,15,1,66321
4.6,57.33,172,3,66331
4.2,25,25,1,66351
3.2,13,13,1,66441
3.7,173,346,2,66515
4.7,354,1416,4,66911
4.1,80,80,1,67265
4.3,82,164,2,67609
4.7,483,483,1,68022
4.5,74,74,1,68226
4.3,267,534,2,68487
4.22,924,3696,4,68542
4.2,155,465,3,68637
4.7,3,3,1,68669
4.4,616,1848,3,68807
4.37,360.67,1082,3,68917
5,2,4,2,69016
5,5,5,1,69401
3.85,35,70,2,69457
4.4,84,84,1,69466
4,1074.86,7524,7,69926
3.85,493,986,2,69963
3.7,19,19,1,70070
4.8,105,210,2,70124
3.66,99,495,5,70224
4.3,6,6,1,70228
4.6,14,14,1,70236
4.3,9,18,2,70743
4.16,14.4,72,5,70744
4.2,458,458,1,71168
3.9,2000,4000,2,71334
4.3,322,644,2,71458
4.3,187,187,1,71700
4.3,113,226,2,71767
4.6,21,21,1,71898
4.5,110,330,3,71931
4.8,362,362,1,71964
4.6,78,156,2,72501
4.4,278,278,1,73325
4.4,70,70,1,73379
3.74,366,2562,7,73985
4.6,179.5,359,2,74033
3.7,48,96,2,74496
3,247,741,3,74498
4.3,16,16,1,74931
4.12,776.17,4657,6,75052
4.5,441,441,1,75285
3.72,51.6,258,5,75290
4.2,370,740,2,75382
3.7,177,177,1,75583
4.3,175,175,1,75945
3.4,156,312,2,76170
4.5,948,1896,2,76798
3.7,45,180,4,76943
4.4,1501.5,3003,2,77168
4.13,882.33,2647,3,77262
4.5,413,826,2,78239
4.25,209,418,2,78302
4.4,115.5,231,2,78427
4.3,234,234,1,78579
4.5,938,1876,2,78836
2.5,66,66,1,79650
4.6,458,916,2,80065
4.2,761.4,3807,5,80266
3.9,581,581,1,80290
4.12,359.2,1796,5,80545
4.2,278,278,1,80711
4.4,419,419,1,80814
4.3,1146,1146,1,80916
4.4,334,334,1,81066
4.1,71.5,286,4,81565
4.35,552,2208,4,81793
4.1,238,476,2,81973
3.82,32.5,260,8,82227
4.2,217,217,1,82243
